SPAN,PROVIDER_CODE,PROVIDER_NAME,REGION,TOTAL_ATTENDANCES,SEEN_WITHIN_4HRS,OVER_4HRS,PCT_WITHIN_4HRS,PERFORMANCE_GAP,TARGET_MET,PATIENTS_FAILED
2024_25,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,Midlands,120767,77091,43676,63.8,31.2,NO,43676
2024_25,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,Midlands,132426,83885,48541,63.3,31.7,NO,48541
2024_25,RNZ,SALISBURY NHS FOUNDATION TRUST,South West,56868,32681,24187,57.5,37.5,NO,24187
2024_25,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,North East and Yorkshire,160609,102296,58313,63.7,31.3,NO,58313
2024_25,RPA,MEDWAY NHS FOUNDATION TRUST,South East,108129,71609,36520,66.2,28.8,NO,36520
2024_25,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,Midlands,61982,49373,12609,79.7,15.3,NO,12609
2024_25,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,London,240068,172640,67428,71.9,23.1,NO,67428
2024_25,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,East of England,96768,47396,49372,49,46,NO,49372
2024_25,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,London,131757,107077,24680,81.3,13.7,NO,24680
2024_25,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,North East and Yorkshire,70988,39347,31641,55.4,39.6,NO,31641
2024_25,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,North East and Yorkshire,209160,122710,86450,58.7,36.3,NO,86450
2024_25,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",North West,85408,42462,42946,49.7,45.3,NO,42946
2024_25,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,Midlands,404795,238035,166760,58.8,36.2,NO,166760
2024_25,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,London,159163,114052,45111,71.7,23.3,NO,45111
2024_25,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,North East and Yorkshire,145860,87614,58246,60.1,34.9,NO,58246
2024_25,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,South West,155224,94585,60639,60.9,34.1,NO,60639
2024_25,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,North East and Yorkshire,116469,84005,32464,72.1,22.9,NO,32464
2024_25,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST��,Midlands,253226,142434,110792,56.3,38.8,NO,110792
2024_25,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,South East,163761,104609,59152,63.9,31.1,NO,59152
2024_25,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,South East,120886,80672,40214,66.7,28.3,NO,40214
2024_25,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,South East,124839,82032,42807,65.7,29.3,NO,42807
2024_25,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,North East and Yorkshire,90247,43774,46473,48.5,46.5,NO,46473
2024_25,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,North West,109793,73991,35802,67.4,27.6,NO,35802
2024_25,RVJ,NORTH BRISTOL NHS TRUST,South West,106784,65019,41765,60.9,34.1,NO,41765
2024_25,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,London,136706,98392,38314,72,23,NO,38314
2024_25,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,South East,154314,81761,72553,53,42,NO,72553
2024_25,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,North East and Yorkshire,57400,29845,27555,52,43,NO,27555
2024_25,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,North East and Yorkshire,110011,47443,62568,43.1,51.9,NO,62568
2024_25,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,Midlands,138219,61922,76297,44.8,50.2,NO,76297
2024_25,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,Midlands,260616,148979,111637,57.2,37.8,NO,111637
2024_25,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,South East,225162,182429,42733,81,14,NO,42733
2024_25,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,East of England,99026,62639,36387,63.3,31.7,NO,36387
2024_25,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,East of England,107900,50131,57769,46.5,48.5,NO,57769
2024_25,RWJ,STOCKPORT NHS FOUNDATION TRUST,North West,97132,57098,40034,58.8,36.2,NO,40034
2024_25,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,Midlands,155956,74853,81103,48,47,NO,81103
2024_25,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,North West,84722,42159,42563,49.8,45.2,NO,42563
2024_25,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,North East and Yorkshire,184579,127710,56869,69.2,25.8,NO,56869
2024_25,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,Midlands,187871,93804,94067,49.9,45.1,NO,94067
2024_25,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,South East,123781,80807,42974,65.3,29.7,NO,42974
2024_25,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,North East and Yorkshire,199209,118400,80809,59.4,35.6,NO,80809
2024_25,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,Midlands,167776,92746,75030,55.3,39.7,NO,75030
